sk_id_curr,id_card,area_code,birth_year,age,days_birth,days_employed,employment_years,AMT_INCOME_TOTAL,credit_query_week,credit_query_month,phone_change_days,active_loans_count,ext_source_2,ext_source_3,has_car,gender_male,married,own_realty,employment_stable,credit_income_ratio,cc_utilization,loan_overdue_max_6m,occupation_type,education,has_default_history,prev_refused_count
143146,110112197512010020,110112,1975,52,-18862,-4845,13.3,135000.0,0,0,2168,2,0.5555,0.633,0,0,0,1,1,5.792,0,44,未知,高中及以下,0,0
193548,110112200508180021,110112,2005,22,-7907,-147,0.4,135000.0,0,0,0,2,0.4114,0.3139,0,0,1,0,0,1.3333,0,42,High skill tech staff,高中及以下,0,1
211507,110112199206200022,110112,1992,35,-12602,-346,0.9,135000.0,0,0,0,1,0.1744,0.6707,1,0,1,1,0,0.9983,1,70,未知,高中及以下,0,1
104989,110112197611260023,110112,1976,50,-18386,-2049,5.6,157500.0,0,0,0,0,0.4296,0.0,0,1,1,1,1,3.2285,0,11,Laborers,高中及以下,1,0
203995,110112197210010024,110112,1972,54,-19852,-970,2.7,112500.0,0,1,2494,2,0.2859,0.6246,0,0,0,0,1,6.0,0,21,Cooking staff,高中及以下,0,0
136883,110112197710150025,110112,1977,50,-18143,-10437,28.6,360000.0,0,0,765,0,0.2029,0.6707,0,1,1,1,1,0.7238,0,34,Laborers,高中及以下,0,0
232623,110112197812110026,110112,1978,48,-17638,-1213,3.3,180000.0,0,0,936,2,0.4898,0.4259,0,0,0,1,1,6.25,0,57,未知,本科,0,0
220352,110112198011120027,110112,1980,46,-16881,-817,2.2,81000.0,0,0,1326,0,0.7516,0.4507,0,0,1,1,1,13.8889,1,12,Core staff,高中及以下,0,0
229948,110112199608040028,110112,1996,30,-11090,-2574,7.1,234000.0,0,0,1753,4,0.3897,0.5119,1,1,1,1,1,3.8462,0,23,Drivers,高中及以下,0,0
200982,110112199011150029,110112,1990,37,-13421,-1839,5.0,202500.0,0,1,59,1,0.0236,0.7047,0,0,1,1,1,1.2564,0,771,Core staff,本科,0,1
177598,110112198805260030,110112,1988,39,-14158,-1890,5.2,270000.0,0,1,227,2,0.4726,0.3345,0,1,1,0,1,4.2786,1,20,Drivers,高中及以下,0,0
140869,110112197410240031,110112,1974,53,-19178,-2034,5.6,270000.0,0,0,0,4,0.7645,0.6314,0,0,1,1,1,5.0,0,41,Managers,本科,0,0
183182,110112199109280032,110112,1991,36,-13138,-1509,4.1,63000.0,0,0,722,1,0.7021,0.4794,0,1,0,1,1,7.1429,0,6,Laborers,高中及以下,0,0
209160,110112199702240033,110112,1997,30,-10900,-2058,5.6,247500.0,0,0,1622,0,0.478,0.5065,0,1,1,0,1,3.6364,0,37,未知,本科,0,0
151440,110112198110200034,110112,1981,45,-16503,-785,2.2,157500.0,0,1,536,0,0.6808,0.6848,1,0,1,1,1,3.0435,0,17,未知,本科,0,1
101171,110112198210070035,110112,1982,44,-16061,-3519,9.6,112500.0,0,0,1135,6,0.4362,0.6007,0,0,1,0,1,4.52,0,27,Sales staff,高中及以下,0,1
240510,110112197802010036,110112,1978,49,-17703,-10246,28.1,157500.0,0,0,0,6,0.254,0.4436,0,0,1,1,1,3.2925,0,1,Laborers,高中及以下,0,0
129639,110112197704160037,110112,1977,50,-18166,-4626,12.7,90000.0,0,0,747,1,0.5395,0.7338,0,0,0,1,1,2.5,1,11,Sales staff,高中及以下,0,0
229366,110112196704200038,110112,1967,60,-21881,-15107,41.4,148500.0,0,0,975,2,0.6695,0.4939,0,0,1,1,1,3.9753,0,6,High skill tech staff,高中及以下,0,0
178189,110112197806270039,110112,1978,49,-17746,-7388,20.2,202500.0,0,0,911,4,0.5827,0.7253,1,0,1,0,1,4.9724,1,134,Core staff,高中及以下,0,0
162871,110112199111160040,110112,1991,36,-13046,-755,2.1,157500.0,0,3,463,2,0.6987,0.5281,0,0,1,1,1,4.5869,1,12,Accountants,本科,0,0
151384,110112199907170041,110112,1999,27,-10024,-1638,4.5,90000.0,0,0,546,3,0.4491,0.3842,0,0,1,0,1,5.0,0,8,未知,本科,1,0
128848,110112197701240042,110112,1977,50,-18249,-4487,12.3,180000.0,0,1,2717,2,0.6899,0.7636,1,1,1,1,1,1.8847,0,11,Security staff,本科,0,0
139952,110112199508010043,110112,1995,31,-11395,-591,1.6,180000.0,0,0,3,3,0.6464,0.5407,1,1,1,0,1,3.0118,1,26,Core staff,本科,0,2
162199,110112198211150044,110112,1982,44,-16157,-2626,7.2,94500.0,1,0,1383,1,0.0935,0.0,0,0,1,1,1,1.6667,0,29,Sales staff,高中及以下,0,1
118995,110112199910060045,110112,1999,28,-10155,-1906,5.2,81000.0,0,0,423,4,0.2078,0.1334,0,0,1,1,1,4.9784,1,21,Cooking staff,高中及以下,0,7
117264,110112198705050046,110112,1987,40,-14491,-596,1.6,117000.0,0,0,342,1,0.6679,0.761,0,0,0,1,1,5.7692,1,1,Sales staff,高中及以下,0,0
170234,110112198103280047,110112,1981,46,-16671,-2763,7.6,180000.0,0,0,0,3,0.3087,0.5638,0,0,1,0,1,1.415,0,31,Core staff,高中及以下,0,0
117990,110112198006210048,110112,1980,46,-16862,-3187,8.7,31500.0,0,0,1,0,0.5129,0.0,0,0,1,1,1,5.2857,0,13,Core staff,高中及以下,0,0
166362,110112199003280049,110112,1990,36,-13309,-1090,3.0,135000.0,0,0,700,0,0.534,0.0,0,0,1,1,1,6.6279,0,21,未知,高中及以下,0,0
163555,110112199509190050,110112,1995,31,-11413,-250,0.7,112500.0,0,0,384,5,0.5342,0.6447,0,0,1,0,0,4.6336,0,7,Core staff,大专,0,0
211820,110112199007020051,110112,1990,37,-13335,-2695,7.4,157500.0,0,0,823,1,0.1622,0.592,1,0,1,0,1,6.5767,0,9,Laborers,高中及以下,0,0
148914,110112197706220052,110112,1977,50,-18205,-2163,5.9,225000.0,0,0,853,0,0.583,0.0,1,1,0,0,1,3.0,0,12,Sales staff,高中及以下,1,0
108086,110112196710190053,110112,1967,59,-21643,-2028,5.6,450000.0,0,0,1579,5,0.7466,0.4472,0,0,0,1,1,2.8239,0,92,Accountants,本科,0,0
235131,110112198608040054,110112,1986,40,-14714,-1639,4.5,270000.0,0,0,510,0,0.3236,0.5065,1,1,1,1,1,4.1253,0,9,Drivers,高中及以下,0,0
185038,110112199811260055,110112,1998,28,-10324,-2438,6.7,112500.0,0,0,2118,0,0.5497,0.6848,1,1,1,1,1,1.3584,0,10,Sales staff,高中及以下,0,0
199332,110112199801160056,110112,1998,28,-10292,-1642,4.5,135000.0,0,0,838,0,0.5336,0.0,0,0,1,1,1,6.7157,0,65,Sales staff,高中及以下,0,0
123226,110112199810240057,110112,1998,28,-10300,-415,1.1,112500.0,0,0,721,0,0.4879,0.0,0,0,0,0,1,1.6,0,38,未知,高中及以下,1,0
169958,110112197903140058,110112,1979,48,-17350,-3843,10.5,67500.0,0,0,113,0,0.5288,0.0,0,0,1,1,1,0.7547,0,10,未知,高中及以下,0,1
114620,110112200011170059,110112,2000,27,-9842,-96,0.3,121500.0,0,0,1226,5,0.6709,0.0005,1,1,1,0,0,2.037,0,577049,Core staff,本科,0,2
202304,110112198008210060,110112,1980,46,-16800,-1328,3.6,270000.0,0,4,2484,6,0.6087,0.3124,1,1,1,1,1,2.0833,1,7,Laborers,本科,0,0
154201,110112199604220061,110112,1996,30,-10952,-1181,3.2,382500.0,0,0,1443,2,0.702,0.4543,0,0,1,1,1,2.2494,0,41,Core staff,本科,0,0
216459,110112198409130062,110112,1984,42,-15455,-2524,6.9,180000.0,0,0,618,0,0.5588,0.0,1,1,1,1,1,1.0,0,7,Laborers,高中及以下,0,0
214601,110112199408070063,110112,1994,32,-11840,-2171,5.9,315000.0,1,0,653,1,0.5473,0.5245,0,0,1,1,1,2.6944,0,13,Core staff,本科,0,1
166823,110112199108100064,110112,1991,36,-13137,-5099,14.0,189000.0,0,0,487,3,0.7308,0.6364,0,1,1,1,1,1.3476,0,55,Managers,本科,0,11
206964,110112197812110065,110112,1978,49,-17773,-518,1.4,144000.0,0,0,632,4,0.0691,0.0237,0,1,1,1,1,1.9195,0,29,Laborers,高中及以下,1,2
135697,110112200508150066,110112,2005,22,-7962,-1392,3.8,157500.0,0,1,1115,1,0.7107,0.4687,1,0,1,1,1,0.8571,0,39,Managers,本科,1,0
230548,110112196709200067,110112,1967,60,-21864,-5716,15.7,99000.0,0,0,1587,1,0.702,0.578,0,0,1,0,1,11.2509,0,20,Sales staff,高中及以下,0,0
112899,110112197204080068,110112,1972,54,-19793,-3079,8.4,130050.0,0,0,2058,1,0.7302,0.7764,0,1,0,1,1,4.191,0,15,Laborers,本科,0,0
108547,110112199208110069,110112,1992,35,-12711,-2409,6.6,45000.0,0,0,716,2,0.4393,0.5209,0,0,1,1,1,17.97,0,22,Core staff,高中及以下,0,0
222457,110112199001240070,110112,1990,37,-13384,-4742,13.0,148500.0,0,0,18,3,0.402,0.5885,0,1,1,0,1,3.0303,1,7,Security staff,高中及以下,0,2
142252,110112199206060071,110112,1992,34,-12442,-2837,7.8,202500.0,0,1,498,9,0.2391,0.2276,1,0,1,0,1,3.6853,1,76,未知,高中及以下,1,5
153524,110112198309280072,110112,1983,44,-16036,-836,2.3,441000.0,0,0,830,3,0.7344,0.1206,0,0,1,1,1,2.0408,0,14,Accountants,本科,0,2
114812,110112197311120073,110112,1973,53,-19363,-1309,3.6,157500.0,0,0,2167,0,0.6599,0.0,0,1,1,1,1,3.1429,0,20,Laborers,高中及以下,0,0
143174,110112198312150074,110112,1983,44,-15933,-1373,3.8,135000.0,0,0,714,4,0.7085,0.2941,0,0,1,0,1,11.6667,0,19,Cleaning staff,高中及以下,0,2
118762,110112199610160075,110112,1996,31,-11195,-2108,5.8,117000.0,0,0,1230,0,0.4596,0.6594,0,1,1,0,1,6.4546,1,35,未知,本科,0,0
170268,110112198303030076,110112,1983,43,-15770,-2423,6.6,225000.0,0,0,2448,2,0.342,0.677,1,1,1,1,1,4.7,0,35,未知,高中及以下,0,1
151400,110112198508060077,110112,1985,42,-15299,-3995,10.9,135000.0,0,0,1494,3,0.5485,0.3001,1,0,1,1,1,5.9078,1,48,Laborers,本科,0,0
183954,110112198406110078,110112,1984,43,-15689,-763,2.1,135000.0,0,0,1766,1,0.6494,0.4118,0,1,1,1,1,2.5467,0,10,High skill tech staff,高中及以下,0,0
217781,110112198107150079,110112,1981,46,-16753,-738,2.0,67500.0,0,0,518,1,0.6998,0.4347,0,0,1,1,1,9.6,1,12,Cleaning staff,高中及以下,0,0
167424,110112199810240080,110112,1998,28,-10312,-765,2.1,270000.0,1,0,1,4,0.4388,0.3329,0,1,1,0,1,4.584,0,1,Managers,本科,1,0
130190,110112198402090081,110112,1984,43,-15601,-5086,13.9,99000.0,0,0,1613,2,0.2933,0.6076,0,0,1,0,1,5.594,0,25,Managers,高中及以下,0,1
168404,110112199909280082,110112,1999,28,-10193,-1957,5.4,103500.0,0,0,688,2,0.5765,0.592,0,0,1,1,1,11.5217,0,6,未知,本科,0,0
165683,110112200108190083,110112,2001,26,-9444,-1068,2.9,90000.0,0,0,172,1,0.075,0.2353,0,0,1,1,1,2.75,0,5,Sales staff,高中及以下,0,0
138868,110112197205250084,110112,1972,54,-19729,-1488,4.1,225000.0,1,0,1436,3,0.7057,0.4049,0,0,1,0,1,1.9168,1,4,Private service staff,高中及以下,0,0
224108,110112198110180085,110112,1981,46,-16671,-537,1.5,189000.0,0,0,1311,1,0.5549,0.2679,0,0,1,0,1,4.1371,0,20,Core staff,本科,0,2
149378,110112198503150086,110112,1985,42,-15158,-141,0.4,180000.0,0,1,585,1,0.5762,0.3774,0,0,1,1,0,6.9925,1,8,Laborers,高中及以下,0,0
230033,110112199806230087,110112,1998,29,-10501,-161,0.4,157500.0,1,0,644,2,0.7077,0.4153,1,1,1,1,0,1.6342,0,20,Laborers,高中及以下,0,3
226549,110112197107270088,110112,1971,55,-20191,-1429,3.9,279000.0,0,1,1681,8,0.725,0.4867,1,0,0,1,1,4.7029,1,56,未知,本科,0,1
220017,110112200208200089,110112,2002,25,-9093,-419,1.1,90000.0,0,0,316,1,0.4111,0.1746,0,0,1,0,1,2.995,0,6,未知,大专,0,3
113237,110112198411010090,110112,1984,43,-15547,-6645,18.2,180000.0,1,0,124,2,0.4887,0.0,1,1,0,1,1,4.6336,1,19,未知,大专,0,3
212810,110112198407200091,110112,1984,43,-15536,-213,0.6,112500.0,0,0,0,1,0.0463,0.1929,0,0,1,1,0,2.9478,0,4,Laborers,高中及以下,1,0
217657,110112198009010092,110112,1980,46,-16938,-5178,14.2,180000.0,1,0,783,2,0.6657,0.7092,1,1,1,1,1,3.3844,0,135,Managers,高中及以下,0,1
131790,110112199007130093,110112,1990,36,-13210,-1073,2.9,283500.0,0,0,2233,5,0.5653,0.1998,0,1,1,0,1,2.8524,0,21,Laborers,高中及以下,0,0
198936,110112198003110094,110112,1980,47,-17102,-424,1.2,157500.0,0,0,723,0,0.4151,0.0,0,0,1,1,1,3.1589,0,11,Cooking staff,高中及以下,0,0
235019,110112199609120095,110112,1996,31,-11189,-987,2.7,360000.0,0,1,1097,2,0.6857,0.2104,1,1,1,0,1,2.797,0,11,Managers,本科,0,2
145344,110112199112080096,110112,1991,35,-12809,-1216,3.3,225000.0,0,0,1377,2,0.6093,0.7166,0,0,0,0,1,2.4,1,38,未知,本科,0,2
130337,110112198107070097,110112,1981,45,-16551,-1192,3.3,117000.0,0,2,196,0,0.3385,0.8634,0,1,1,1,1,4.6585,0,7,Laborers,高中及以下,0,0
185573,110112199009250098,110112,1990,36,-13148,-1036,2.8,90000.0,0,0,0,0,0.6824,0.0,1,0,1,0,1,8.688,1,30,Cleaning staff,高中及以下,0,0
170150,110112199901090099,110112,1999,28,-10088,-1102,3.0,180000.0,0,1,1080,6,0.758,0.1125,1,1,1,1,1,1.675,1,56,Sales staff,高中及以下,0,1
149908,110112197911080100,110112,1979,47,-17185,-3684,10.1,315000.0,0,0,1301,4,0.5519,0.2512,1,1,1,1,1,1.7303,1,60,Managers,本科,0,3
218571,110112199003090101,110112,1990,37,-13493,-3859,10.6,157500.0,0,0,1521,6,0.4926,0.1885,0,0,0,1,1,5.7504,0,25,Accountants,高中及以下,0,2
227430,110112198710170102,110112,1987,40,-14520,-444,1.2,180000.0,0,0,732,2,0.3688,0.5317,0,1,1,0,1,2.9515,0,35,Drivers,高中及以下,1,1
203222,110112198210070103,110112,1982,45,-16326,-150,0.4,90000.0,0,0,0,0,0.4067,0.7338,0,0,1,1,0,6.056,0,23,Sales staff,高中及以下,0,0
140717,110112196910250104,110112,1969,57,-20901,-10206,28.0,153000.0,0,0,1536,0,0.7606,0.0,0,0,1,1,1,7.7459,0,30,Medicine staff,高中及以下,0,0
226746,110112198705250105,110112,1987,40,-14465,-510,1.4,112500.0,0,0,0,0,0.3061,0.3458,0,0,1,1,1,3.3183,0,75,未知,高中及以下,0,1
159901,110112198112240106,110112,1981,46,-16669,-1194,3.3,67500.0,0,0,886,0,0.1791,0.0,1,0,0,1,1,10.0,0,44,Sales staff,高中及以下,0,2
110398,110112197803170107,110112,1978,48,-17668,-1392,3.8,135000.0,0,0,436,0,0.1319,0.7477,0,0,0,1,1,1.0955,0,37,未知,高中及以下,0,1
142468,110112196801130108,110112,1968,59,-21511,-1412,3.9,157500.0,0,0,825,3,0.5065,0.3031,1,1,1,1,1,7.1429,0,4,Security staff,本科,0,0
106012,110112198002280109,110112,1980,46,-16814,-3986,10.9,157500.0,0,0,746,0,0.5837,0.8555,1,0,0,1,1,2.1429,0,24,未知,高中及以下,0,0
158272,110112198409090110,110112,1984,43,-15581,-196,0.5,67500.0,0,0,697,0,0.4991,0.8128,0,1,0,1,0,11.168,0,116,Laborers,高中及以下,0,0
174191,110112198807230111,110112,1988,38,-14005,-3643,10.0,225000.0,0,0,1146,3,0.6798,0.0,1,0,0,0,1,1.9914,1,124,Sales staff,高中及以下,1,2
149520,110112197601180112,110112,1976,50,-18380,-2912,8.0,112500.0,0,0,1600,4,0.5905,0.4347,1,0,0,0,1,4.04,0,63,Laborers,高中及以下,0,2
112286,110112198806040113,110112,1988,38,-13998,-2920,8.0,202500.0,0,0,567,3,0.0661,0.7463,1,0,1,1,1,5.5556,1,7,Laborers,高中及以下,0,0
139147,110112198303030114,110112,1983,43,-15781,-2032,5.6,108000.0,0,0,1759,2,0.3346,0.7195,0,0,1,0,1,10.4167,0,73,Sales staff,高中及以下,0,0
205083,110112199105270115,110112,1991,35,-12809,-1742,4.8,90000.0,0,0,267,1,0.5212,0.7107,0,0,1,1,1,3.0,0,8,Sales staff,高中及以下,0,0
232974,110112199602230116,110112,1996,30,-11023,-3093,8.5,310500.0,0,0,780,1,0.6164,0.5119,1,1,1,1,1,3.3194,0,11,IT staff,本科,0,0
158129,110112199512280117,110112,1995,32,-11653,-3671,10.1,270000.0,0,0,2236,3,0.7089,0.6161,0,0,1,0,1,3.3333,0,20,Core staff,本科,0,0
139447,110112198402090118,110112,1984,42,-15408,-1726,4.7,67500.0,1,0,963,1,0.5732,0.592,0,0,1,1,1,8.2633,0,8,Laborers,高中及以下,0,1
221378,110112197311010119,110112,1973,54,-19593,-254,0.7,135000.0,0,9,1393,10,0.6255,0.4312,0,0,0,0,0,6.188,1,238,未知,本科,0,0
192412,110112197801130120,110112,1978,48,-17677,-773,2.1,76500.0,0,0,1455,5,0.329,0.5119,0,0,1,1,1,8.1332,1,42,Medicine staff,高中及以下,0,0
173161,110112198912140121,110112,1989,38,-13860,-3720,10.2,112500.0,0,0,635,0,0.5359,0.0,0,0,1,0,1,11.452,0,30,Core staff,高中及以下,0,0
219090,110112198009220122,110112,1980,46,-16863,-2922,8.0,216000.0,0,0,0,1,0.3573,0.7352,0,0,0,1,1,2.9633,1,49,未知,高中及以下,0,2
184934,110112197812060123,110112,1978,49,-17743,-616,1.7,162000.0,0,0,260,0,0.6647,0.7422,0,0,1,1,1,1.5663,0,35,Accountants,本科,0,0
126491,110112199807140124,110112,1998,29,-10467,-189,0.5,157500.0,0,0,1631,1,0.3588,0.4794,1,1,1,0,0,3.4606,1,71,Drivers,大专,0,5
148972,110112197709120125,110112,1977,50,-18205,-2430,6.7,225000.0,0,0,2406,1,0.6362,0.6754,0,0,1,1,1,2.8166,1,55,未知,本科,0,0
125901,110112198610150126,110112,1986,40,-14601,-1701,4.7,135000.0,0,0,1597,2,0.6849,0.359,0,0,1,0,1,2.2112,0,43,未知,高中及以下,0,0
145680,110112198305100127,110112,1983,44,-15880,-7779,21.3,90000.0,0,0,475,1,0.6661,0.3876,0,0,1,1,1,0.75,0,8,Managers,本科,0,0
237958,110112199101250128,110112,1991,36,-13019,-2307,6.3,247500.0,0,0,386,2,0.1595,0.074,0,0,1,1,1,1.8103,0,12,未知,高中及以下,0,0
204022,110112197905020129,110112,1979,48,-17498,-1189,3.3,162000.0,0,0,1678,3,0.5929,0.3945,0,1,0,1,1,6.0556,0,70,Security staff,高中及以下,0,2
199837,110112198304180130,110112,1983,43,-15795,-9025,24.7,171000.0,0,0,1947,0,0.7341,0.7422,0,0,0,0,1,5.5263,0,46,Medicine staff,高中及以下,0,2
148588,110112199511170131,110112,1995,31,-11438,-825,2.3,121500.0,0,0,0,0,0.6895,0.5797,0,1,1,0,1,2.231,1,38,Laborers,高中及以下,0,1
238348,110112200006160132,110112,2000,27,-9812,-261,0.7,90000.0,0,0,801,1,0.4155,0.6007,0,0,1,1,0,4.9784,0,49,未知,高中及以下,0,2
208285,110112198806160133,110112,1988,39,-14178,-1561,4.3,157500.0,0,0,1191,1,0.6086,0.6864,0,0,1,1,1,1.3584,0,24,Managers,高中及以下,0,2
179316,110112199701060134,110112,1997,30,-10935,-4209,11.5,225000.0,0,1,0,2,0.6209,0.5621,1,1,1,1,1,2.34,0,11,Laborers,高中及以下,0,0
208092,110112197812140135,110112,1978,48,-17650,-4612,12.6,157500.0,1,0,3133,4,0.6162,0.6786,0,0,1,1,1,3.3428,1,21,未知,高中及以下,0,0
173855,110112197402160136,110112,1974,53,-19241,-1125,3.1,112500.0,0,0,816,2,0.6932,0.4615,1,1,1,1,1,10.0,0,19,Laborers,高中及以下,0,3
166883,110112198301160137,110112,1983,44,-16003,-198,0.5,270000.0,0,15,1516,10,0.6552,0.3673,1,0,0,0,0,4.7717,0,66,未知,本科,0,1
140663,110112197208020138,110112,1972,55,-19996,-1355,3.7,211500.0,0,1,1664,2,0.2508,0.4867,0,0,0,0,1,1.7221,0,48,Private service staff,高中及以下,1,1
125672,110112197903060139,110112,1979,48,-17344,-1839,5.0,180000.0,0,1,1397,1,0.5099,0.3893,1,0,1,1,1,10.1565,0,42,Sales staff,高中及以下,0,1
194316,110112199810060140,110112,1998,29,-10558,-1447,4.0,157500.0,0,0,1091,1,0.6862,0.1715,0,0,1,1,1,4.2857,1,32,Sales staff,高中及以下,1,5
191365,110112199402180141,110112,1994,32,-11733,-2381,6.5,180000.0,0,1,1616,2,0.6788,0.3523,0,0,1,1,1,3.05,1,12,Laborers,本科,0,1
116919,110112199411140142,110112,1994,33,-12029,-4570,12.5,225000.0,0,0,2053,5,0.7502,0.5496,0,1,1,1,1,3.98,0,22,Laborers,高中及以下,0,0
239968,110112197209280143,110112,1972,54,-19733,-4285,11.7,157500.0,0,0,0,1,0.0699,0.7504,0,1,1,1,1,1.6171,1,76,Laborers,高中及以下,0,1
108785,110112198709160144,110112,1987,40,-14568,-3754,10.3,153000.0,0,0,1664,0,0.5256,0.7981,0,0,0,1,1,4.0873,1,47,High skill tech staff,本科,0,0
120407,110112198506200145,110112,1985,42,-15246,-4341,11.9,270000.0,0,9,2112,1,0.4452,0.7958,1,1,0,1,1,1.0,0,15,Managers,本科,0,0
128355,110112198605230146,110112,1986,40,-14629,-4886,13.4,157500.0,0,0,1906,4,0.6783,0.1351,0,0,1,0,1,5.7143,0,4,High skill tech staff,本科,0,1
216236,110112199007030147,110112,1990,36,-13272,-543,1.5,135000.0,0,0,1534,2,0.5984,0.3442,1,1,1,0,1,2.0,0,33,Drivers,高中及以下,0,2
129698,110112198801260148,110112,1988,39,-14173,-2021,5.5,270000.0,0,0,1729,5,0.4004,0.1896,1,1,1,0,1,2.0,0,7,Sales staff,本科,0,0
225981,110112198801030149,110112,1988,39,-14171,-4660,12.8,247500.0,0,0,1752,2,0.5525,0.2176,1,0,0,1,1,1.8182,1,42,未知,大专,0,3
178101,110112198805220150,110112,1988,38,-13975,-5591,15.3,157500.0,0,0,0,0,0.7065,0.5191,1,1,1,1,1,3.2857,0,1,Core staff,本科,0,0
210463,110112196906190151,110112,1969,57,-20929,-2046,5.6,360000.0,0,1,1210,4,0.3917,0.3329,1,0,1,1,1,2.0439,0,103,Managers,本科,0,3
111784,110112198911050152,110112,1989,38,-13802,-3662,10.0,450000.0,0,2,178,4,0.1701,0.5762,0,0,1,1,1,2.1188,2,19,Managers,本科,0,4
171166,110112199411270153,110112,1994,32,-11687,-2222,6.1,135000.0,0,0,584,2,0.2525,0.5549,0,0,0,0,1,1.8867,0,15,Sales staff,高中及以下,0,1
170557,110112198003170154,110112,1980,47,-17066,-3585,9.8,306000.0,0,0,3227,2,0.6376,0.4206,1,0,1,1,1,3.6471,0,30,Sales staff,高中及以下,0,3
210373,110112199710070155,110112,1997,29,-10726,-3984,10.9,270000.0,0,0,1081,1,0.601,0.4776,0,0,1,0,1,4.6762,0,26,未知,高中及以下,0,1
186654,110112198210050156,110112,1982,44,-16226,-4751,13.0,81000.0,0,0,203,2,0.5451,0.2822,1,1,0,0,1,1.4464,1,48,Security staff,高中及以下,0,3
198015,110112199210120157,110112,1992,35,-12723,-2429,6.7,189000.0,0,0,1041,1,0.5624,0.6144,1,1,1,1,1,4.7619,1,23,未知,本科,0,0
146549,110112199501050158,110112,1995,32,-11547,-993,2.7,90000.0,0,0,854,2,0.514,0.5674,0,0,1,1,1,5.9296,0,57,Accountants,大专,0,0
